[2025-08-15 13:00:31,464] INFO - === NNStreamer 系統啟動 ===
[2025-08-15 13:00:31,464] INFO - TFLite 模型: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,464] INFO - 輸入來源: 0
[2025-08-15 13:00:31,464] INFO - 最大工作者數: 4
[2025-08-15 13:00:31,464] INFO - 預載入 TFLite 解釋器...
[2025-08-15 13:00:31,514] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,515] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,515] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,539] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,539] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,539] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,581] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,581] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,581] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,617] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,617] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,617] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,617] INFO - 成功預載入 4 個解釋器
[2025-08-15 13:00:31,617] INFO - === 啟動 NNStreamer 串流處理 ===
[2025-08-15 13:00:31,622] INFO - 啟動影像擷取器: 0
[2025-08-15 13:00:37,598] INFO - 啟動推論管理器
[2025-08-15 13:00:37,598] INFO - 啟動結果處理器
[2025-08-15 13:00:37,893] INFO - 統計 - FPS: 0.0, 推論時間: 212.2ms, CPU: 25.0%, 記憶體: 35.7%
[2025-08-15 13:00:52,946] INFO - 統計 - FPS: 0.0, 推論時間: 151.4ms, CPU: 37.8%, 記憶體: 35.5%
[2025-08-15 13:00:54,112] INFO - 統計 - FPS: 0.0, 推論時間: 150.3ms, CPU: 21.6%, 記憶體: 35.5%
[2025-08-15 13:00:55,264] INFO - 統計 - FPS: 0.0, 推論時間: 150.5ms, CPU: 31.9%, 記憶體: 35.5%
[2025-08-15 13:00:56,412] INFO - 統計 - FPS: 0.0, 推論時間: 149.8ms, CPU: 39.4%, 記憶體: 35.5%
[2025-08-15 13:00:57,579] INFO - 統計 - FPS: 0.0, 推論時間: 150.4ms, CPU: 25.5%, 記憶體: 35.5%
[2025-08-15 13:00:58,761] INFO - 統計 - FPS: 0.0, 推論時間: 150.8ms, CPU: 29.4%, 記憶體: 35.5%
[2025-08-15 13:00:59,912] INFO - 統計 - FPS: 0.0, 推論時間: 151.6ms, CPU: 26.7%, 記憶體: 35.5%
[2025-08-15 13:01:01,077] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 20.6%, 記憶體: 35.5%
[2025-08-15 13:01:02,244] INFO - 統計 - FPS: 0.0, 推論時間: 150.9ms, CPU: 46.9%, 記憶體: 35.5%
[2025-08-15 13:01:03,409] INFO - 統計 - FPS: 0.0, 推論時間: 151.1ms, CPU: 31.0%, 記憶體: 35.5%
[2025-08-15 13:01:04,575] INFO - 統計 - FPS: 0.0, 推論時間: 151.1ms, CPU: 30.6%, 記憶體: 35.5%
[2025-08-15 13:01:05,742] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 51.4%, 記憶體: 35.5%
[2025-08-15 13:01:06,891] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 28.6%, 記憶體: 35.5%
[2025-08-15 13:01:08,075] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 30.3%, 記憶體: 35.5%
[2025-08-15 13:01:09,257] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 36.4%, 記憶體: 35.5%
[2025-08-15 13:01:10,423] INFO - 統計 - FPS: 0.0, 推論時間: 152.2ms, CPU: 37.2%, 記憶體: 35.5%
[2025-08-15 13:01:11,573] INFO - 統計 - FPS: 0.0, 推論時間: 152.0ms, CPU: 28.6%, 記憶體: 35.5%
[2025-08-15 13:01:12,740] INFO - 統計 - FPS: 0.0, 推論時間: 150.7ms, CPU: 26.9%, 記憶體: 35.5%
[2025-08-15 13:01:13,938] INFO - 統計 - FPS: 0.0, 推論時間: 150.4ms, CPU: 37.2%, 記憶體: 35.5%
[2025-08-15 13:01:15,105] INFO - 統計 - FPS: 0.0, 推論時間: 149.9ms, CPU: 24.5%, 記憶體: 35.5%
[2025-08-15 13:01:16,255] INFO - 統計 - FPS: 0.0, 推論時間: 151.0ms, CPU: 29.8%, 記憶體: 35.5%
[2025-08-15 13:01:17,471] INFO - 統計 - FPS: 0.0, 推論時間: 154.0ms, CPU: 25.9%, 記憶體: 35.5%
[2025-08-15 13:01:18,636] INFO - 統計 - FPS: 0.0, 推論時間: 154.2ms, CPU: 25.5%, 記憶體: 35.5%
[2025-08-15 13:01:19,801] INFO - 統計 - FPS: 0.0, 推論時間: 153.9ms, CPU: 35.0%, 記憶體: 35.5%
[2025-08-15 13:01:20,952] INFO - 統計 - FPS: 0.0, 推論時間: 151.1ms, CPU: 21.1%, 記憶體: 35.5%
[2025-08-15 13:01:22,185] INFO - 統計 - FPS: 0.0, 推論時間: 154.2ms, CPU: 27.9%, 記憶體: 35.5%
[2025-08-15 13:01:23,451] INFO - 統計 - FPS: 0.0, 推論時間: 159.3ms, CPU: 37.5%, 記憶體: 35.5%
[2025-08-15 13:01:24,651] INFO - 統計 - FPS: 0.0, 推論時間: 161.3ms, CPU: 27.3%, 記憶體: 35.5%
[2025-08-15 13:01:25,818] INFO - 統計 - FPS: 0.0, 推論時間: 161.6ms, CPU: 50.0%, 記憶體: 35.4%
[2025-08-15 13:01:26,983] INFO - 統計 - FPS: 0.0, 推論時間: 157.1ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:01:28,167] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 36.7%, 記憶體: 35.4%
[2025-08-15 13:01:29,349] INFO - 統計 - FPS: 0.0, 推論時間: 150.7ms, CPU: 40.9%, 記憶體: 35.4%
[2025-08-15 13:01:30,500] INFO - 統計 - FPS: 0.0, 推論時間: 151.5ms, CPU: 28.1%, 記憶體: 35.4%
[2025-08-15 13:01:31,682] INFO - 統計 - FPS: 0.0, 推論時間: 151.7ms, CPU: 35.8%, 記憶體: 35.4%
[2025-08-15 13:01:32,849] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 28.1%, 記憶體: 35.4%
[2025-08-15 13:01:34,076] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 35.6%, 記憶體: 35.4%
[2025-08-15 13:01:35,247] INFO - 統計 - FPS: 0.0, 推論時間: 154.8ms, CPU: 28.6%, 記憶體: 35.4%
[2025-08-15 13:01:36,413] INFO - 統計 - FPS: 0.0, 推論時間: 154.6ms, CPU: 36.5%, 記憶體: 35.4%
[2025-08-15 13:01:37,596] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 28.3%, 記憶體: 35.4%
[2025-08-15 13:01:38,779] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 22.5%, 記憶體: 35.4%
[2025-08-15 13:01:39,929] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 42.9%, 記憶體: 35.4%
[2025-08-15 13:01:41,095] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 34.1%, 記憶體: 35.4%
[2025-08-15 13:01:42,262] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 35.4%, 記憶體: 35.4%
[2025-08-15 13:01:43,411] INFO - 統計 - FPS: 0.0, 推論時間: 152.2ms, CPU: 26.7%, 記憶體: 35.4%
[2025-08-15 13:01:44,578] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 33.3%, 記憶體: 35.4%
[2025-08-15 13:01:45,743] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 52.0%, 記憶體: 35.4%
[2025-08-15 13:01:46,909] INFO - 統計 - FPS: 0.0, 推論時間: 151.3ms, CPU: 21.1%, 記憶體: 35.4%
[2025-08-15 13:01:48,076] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 27.3%, 記憶體: 35.4%
[2025-08-15 13:01:49,242] INFO - 統計 - FPS: 0.0, 推論時間: 151.1ms, CPU: 46.8%, 記憶體: 35.4%
[2025-08-15 13:01:50,408] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 39.6%, 記憶體: 35.4%
[2025-08-15 13:01:51,575] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 24.0%, 記憶體: 35.4%
[2025-08-15 13:01:52,742] INFO - 統計 - FPS: 0.0, 推論時間: 153.0ms, CPU: 40.0%, 記憶體: 35.4%
[2025-08-15 13:01:53,907] INFO - 統計 - FPS: 0.0, 推論時間: 153.1ms, CPU: 43.5%, 記憶體: 35.4%
[2025-08-15 13:01:55,072] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 30.3%, 記憶體: 35.4%
[2025-08-15 13:01:56,239] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 26.5%, 記憶體: 35.4%
[2025-08-15 13:01:57,390] INFO - 統計 - FPS: 0.0, 推論時間: 150.8ms, CPU: 25.5%, 記憶體: 35.4%
[2025-08-15 13:01:58,572] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 45.5%, 記憶體: 35.4%
[2025-08-15 13:01:59,756] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 32.8%, 記憶體: 35.4%
[2025-08-15 13:02:00,909] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 21.9%, 記憶體: 35.4%
[2025-08-15 13:02:02,088] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 30.2%, 記憶體: 35.4%
[2025-08-15 13:02:03,255] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 40.5%, 記憶體: 35.4%
[2025-08-15 13:02:04,438] INFO - 統計 - FPS: 0.0, 推論時間: 153.1ms, CPU: 24.3%, 記憶體: 35.4%
[2025-08-15 13:02:05,586] INFO - 統計 - FPS: 0.0, 推論時間: 153.2ms, CPU: 52.9%, 記憶體: 35.4%
[2025-08-15 13:02:06,769] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 22.9%, 記憶體: 35.4%
[2025-08-15 13:02:07,951] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:02:09,102] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 38.2%, 記憶體: 35.4%
[2025-08-15 13:02:10,285] INFO - 統計 - FPS: 0.0, 推論時間: 151.7ms, CPU: 25.5%, 記憶體: 35.4%
[2025-08-15 13:02:11,433] INFO - 統計 - FPS: 0.0, 推論時間: 151.7ms, CPU: 29.5%, 記憶體: 35.4%
[2025-08-15 13:02:12,584] INFO - 統計 - FPS: 0.0, 推論時間: 151.2ms, CPU: 31.7%, 記憶體: 35.4%
[2025-08-15 13:02:13,750] INFO - 統計 - FPS: 0.0, 推論時間: 151.5ms, CPU: 24.2%, 記憶體: 35.4%
[2025-08-15 13:02:14,917] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 33.9%, 記憶體: 35.4%
[2025-08-15 13:02:16,097] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 36.4%, 記憶體: 35.4%
[2025-08-15 13:02:17,265] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:02:18,431] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 37.5%, 記憶體: 35.4%
[2025-08-15 13:02:19,598] INFO - 統計 - FPS: 0.0, 推論時間: 152.0ms, CPU: 26.7%, 記憶體: 35.4%
[2025-08-15 13:02:20,781] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 21.1%, 記憶體: 35.4%
[2025-08-15 13:02:21,930] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 40.9%, 記憶體: 35.4%
[2025-08-15 13:02:23,096] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 32.4%, 記憶體: 35.4%
[2025-08-15 13:02:24,280] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 28.3%, 記憶體: 35.4%
[2025-08-15 13:02:25,462] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 54.3%, 記憶體: 35.4%
[2025-08-15 13:02:26,612] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 36.2%, 記憶體: 35.4%
[2025-08-15 13:02:27,761] INFO - 統計 - FPS: 0.0, 推論時間: 153.2ms, CPU: 36.6%, 記憶體: 35.4%
[2025-08-15 13:02:28,927] INFO - 統計 - FPS: 0.0, 推論時間: 153.1ms, CPU: 36.7%, 記憶體: 35.4%
[2025-08-15 13:02:30,094] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 24.3%, 記憶體: 35.4%
[2025-08-15 13:02:31,252] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 29.4%, 記憶體: 35.4%
[2025-08-15 13:02:32,410] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 25.6%, 記憶體: 35.4%
[2025-08-15 13:02:33,625] INFO - 統計 - FPS: 0.0, 推論時間: 153.8ms, CPU: 27.6%, 記憶體: 35.4%
[2025-08-15 13:02:34,810] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 27.3%, 記憶體: 35.4%
[2025-08-15 13:02:35,991] INFO - 統計 - FPS: 0.0, 推論時間: 154.5ms, CPU: 32.7%, 記憶體: 35.4%
[2025-08-15 13:02:37,158] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 29.0%, 記憶體: 35.4%
[2025-08-15 13:02:38,323] INFO - 統計 - FPS: 0.0, 推論時間: 153.9ms, CPU: 38.7%, 記憶體: 35.4%
[2025-08-15 13:02:39,522] INFO - 統計 - FPS: 0.0, 推論時間: 153.7ms, CPU: 42.3%, 記憶體: 35.4%
[2025-08-15 13:02:40,660] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 33.3%, 記憶體: 35.4%
[2025-08-15 13:02:41,838] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 24.5%, 記憶體: 35.4%
[2025-08-15 13:02:43,005] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 40.0%, 記憶體: 35.4%
[2025-08-15 13:02:44,172] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 37.2%, 記憶體: 35.3%
[2025-08-15 13:02:45,355] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 40.5%, 記憶體: 35.3%
[2025-08-15 13:02:46,537] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 46.2%, 記憶體: 35.3%
[2025-08-15 13:02:47,687] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 27.3%, 記憶體: 35.3%
[2025-08-15 13:02:48,853] INFO - 統計 - FPS: 0.0, 推論時間: 153.0ms, CPU: 34.3%, 記憶體: 35.3%
[2025-08-15 13:02:50,035] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 32.7%, 記憶體: 35.3%
[2025-08-15 13:02:51,202] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 27.9%, 記憶體: 35.3%
[2025-08-15 13:02:52,368] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 36.1%, 記憶體: 35.3%
[2025-08-15 13:02:53,517] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 27.3%, 記憶體: 35.3%
[2025-08-15 13:02:54,702] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 27.1%, 記憶體: 35.3%
[2025-08-15 13:02:55,883] INFO - 統計 - FPS: 0.0, 推論時間: 151.9ms, CPU: 32.8%, 記憶體: 35.3%
[2025-08-15 13:02:57,033] INFO - 統計 - FPS: 0.0, 推論時間: 150.7ms, CPU: 27.1%, 記憶體: 35.3%
[2025-08-15 13:02:58,199] INFO - 統計 - FPS: 0.0, 推論時間: 151.3ms, CPU: 28.1%, 記憶體: 35.3%
[2025-08-15 13:02:59,381] INFO - 統計 - FPS: 0.0, 推論時間: 151.0ms, CPU: 34.3%, 記憶體: 35.3%
[2025-08-15 13:03:00,548] INFO - 統計 - FPS: 0.0, 推論時間: 151.7ms, CPU: 20.0%, 記憶體: 35.3%
[2025-08-15 13:03:01,700] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 25.0%, 記憶體: 35.3%
[2025-08-15 13:03:02,882] INFO - 統計 - FPS: 0.0, 推論時間: 153.7ms, CPU: 43.8%, 記憶體: 35.3%
[2025-08-15 13:03:04,064] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 31.7%, 記憶體: 35.3%
[2025-08-15 13:03:05,247] INFO - 統計 - FPS: 0.0, 推論時間: 153.8ms, CPU: 25.0%, 記憶體: 35.3%
[2025-08-15 13:03:06,413] INFO - 統計 - FPS: 0.0, 推論時間: 153.1ms, CPU: 33.3%, 記憶體: 35.3%
[2025-08-15 13:03:07,580] INFO - 統計 - FPS: 0.0, 推論時間: 152.7ms, CPU: 23.1%, 記憶體: 35.3%
[2025-08-15 13:03:08,746] INFO - 統計 - FPS: 0.0, 推論時間: 152.2ms, CPU: 29.2%, 記憶體: 35.3%
[2025-08-15 13:03:09,927] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 25.7%, 記憶體: 35.3%
[2025-08-15 13:03:11,079] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 23.5%, 記憶體: 35.3%
[2025-08-15 13:03:12,278] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 37.5%, 記憶體: 35.3%
[2025-08-15 13:03:13,432] INFO - 統計 - FPS: 0.0, 推論時間: 152.3ms, CPU: 31.5%, 記憶體: 35.3%
[2025-08-15 13:03:14,627] INFO - 統計 - FPS: 0.0, 推論時間: 153.9ms, CPU: 27.9%, 記憶體: 35.3%
[2025-08-15 13:03:15,793] INFO - 統計 - FPS: 0.0, 推論時間: 154.4ms, CPU: 25.0%, 記憶體: 35.3%
[2025-08-15 13:03:16,975] INFO - 統計 - FPS: 0.0, 推論時間: 154.9ms, CPU: 34.9%, 記憶體: 35.3%
[2025-08-15 13:03:18,142] INFO - 統計 - FPS: 0.0, 推論時間: 154.5ms, CPU: 20.5%, 記憶體: 35.3%
[2025-08-15 13:03:19,309] INFO - 統計 - FPS: 0.0, 推論時間: 154.6ms, CPU: 34.9%, 記憶體: 35.3%
[2025-08-15 13:03:20,475] INFO - 統計 - FPS: 0.0, 推論時間: 154.3ms, CPU: 27.8%, 記憶體: 35.3%
[2025-08-15 13:03:21,655] INFO - 統計 - FPS: 0.0, 推論時間: 153.4ms, CPU: 22.7%, 記憶體: 35.3%
[2025-08-15 13:03:22,824] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 35.4%, 記憶體: 35.3%
[2025-08-15 13:03:24,007] INFO - 統計 - FPS: 0.0, 推論時間: 153.4ms, CPU: 35.5%, 記憶體: 35.3%
[2025-08-15 13:03:25,172] INFO - 統計 - FPS: 0.0, 推論時間: 153.4ms, CPU: 25.0%, 記憶體: 35.3%
[2025-08-15 13:03:26,340] INFO - 統計 - FPS: 0.0, 推論時間: 153.2ms, CPU: 29.3%, 記憶體: 35.3%
[2025-08-15 13:03:27,522] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 27.1%, 記憶體: 35.3%
[2025-08-15 13:03:28,688] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 31.2%, 記憶體: 35.3%
[2025-08-15 13:03:29,838] INFO - 統計 - FPS: 0.0, 推論時間: 152.2ms, CPU: 35.1%, 記憶體: 35.3%
[2025-08-15 13:03:31,021] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 29.3%, 記憶體: 35.3%
[2025-08-15 13:03:32,236] INFO - 統計 - FPS: 0.0, 推論時間: 154.6ms, CPU: 31.0%, 記憶體: 35.4%
[2025-08-15 13:03:33,453] INFO - 統計 - FPS: 0.0, 推論時間: 156.4ms, CPU: 35.4%, 記憶體: 35.4%
[2025-08-15 13:03:34,653] INFO - 統計 - FPS: 0.0, 推論時間: 156.7ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:03:35,803] INFO - 統計 - FPS: 0.0, 推論時間: 155.3ms, CPU: 40.0%, 記憶體: 35.4%
[2025-08-15 13:03:37,001] INFO - 統計 - FPS: 0.0, 推論時間: 155.5ms, CPU: 27.3%, 記憶體: 35.4%
[2025-08-15 13:03:38,185] INFO - 統計 - FPS: 0.0, 推論時間: 154.9ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:03:39,483] INFO - 統計 - FPS: 0.0, 推論時間: 158.5ms, CPU: 26.6%, 記憶體: 35.5%
[2025-08-15 13:03:40,649] INFO - 統計 - FPS: 0.0, 推論時間: 158.2ms, CPU: 43.8%, 記憶體: 35.5%
[2025-08-15 13:03:41,817] INFO - 統計 - FPS: 0.0, 推論時間: 158.5ms, CPU: 24.5%, 記憶體: 35.5%
[2025-08-15 13:03:42,966] INFO - 統計 - FPS: 0.0, 推論時間: 155.1ms, CPU: 28.1%, 記憶體: 35.5%
[2025-08-15 13:03:44,134] INFO - 統計 - FPS: 0.0, 推論時間: 154.0ms, CPU: 42.2%, 記憶體: 35.5%
[2025-08-15 13:03:45,316] INFO - 統計 - FPS: 0.0, 推論時間: 153.6ms, CPU: 25.0%, 記憶體: 35.5%
[2025-08-15 13:03:46,481] INFO - 統計 - FPS: 0.0, 推論時間: 153.5ms, CPU: 25.8%, 記憶體: 35.4%
[2025-08-15 13:03:47,664] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 41.7%, 記憶體: 35.4%
[2025-08-15 13:03:48,831] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 27.9%, 記憶體: 35.4%
[2025-08-15 13:03:49,997] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 25.8%, 記憶體: 35.4%
[2025-08-15 13:03:51,162] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 28.6%, 記憶體: 35.4%
[2025-08-15 13:03:52,345] INFO - 統計 - FPS: 0.0, 推論時間: 152.1ms, CPU: 25.8%, 記憶體: 35.4%
[2025-08-15 13:03:53,512] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 28.6%, 記憶體: 35.4%
[2025-08-15 13:03:54,694] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 41.7%, 記憶體: 35.4%
[2025-08-15 13:03:55,862] INFO - 統計 - FPS: 0.0, 推論時間: 153.3ms, CPU: 34.4%, 記憶體: 35.4%
[2025-08-15 13:03:57,027] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 25.0%, 記憶體: 35.4%
[2025-08-15 13:03:58,194] INFO - 統計 - FPS: 0.0, 推論時間: 152.9ms, CPU: 31.9%, 記憶體: 35.4%
[2025-08-15 13:03:59,359] INFO - 統計 - FPS: 0.0, 推論時間: 152.8ms, CPU: 24.3%, 記憶體: 35.4%
[2025-08-15 13:04:00,525] INFO - 統計 - FPS: 0.0, 推論時間: 152.6ms, CPU: 52.9%, 記憶體: 35.4%
[2025-08-15 13:04:01,691] INFO - 統計 - FPS: 0.0, 推論時間: 152.5ms, CPU: 24.0%, 記憶體: 35.4%
[2025-08-15 13:04:02,908] INFO - 統計 - FPS: 0.0, 推論時間: 154.3ms, CPU: 40.9%, 記憶體: 35.4%
[2025-08-15 13:04:04,108] INFO - 統計 - FPS: 0.0, 推論時間: 154.5ms, CPU: 32.5%, 記憶體: 35.4%
